threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.0358,471,2946,2304,4,0.56114,0.00842,475,5250
0.0359,471,2942,2308,4,0.56038,0.00842,475,5250
0.036,471,2940,2310,4,0.56,0.00842,475,5250
0.0361,471,2938,2312,4,0.55962,0.00842,475,5250
0.0362,471,2937,2313,4,0.55943,0.00842,475,5250
0.0363,471,2936,2314,4,0.55924,0.00842,475,5250
0.0364,471,2933,2317,4,0.55867,0.00842,475,5250
0.0365,471,2931,2319,4,0.55829,0.00842,475,5250
0.0366,471,2929,2321,4,0.5579,0.00842,475,5250
0.0367,471,2927,2323,4,0.55752,0.00842,475,5250
0.0368,471,2924,2326,4,0.55695,0.00842,475,5250
0.0369,471,2922,2328,4,0.55657,0.00842,475,5250
0.037,471,2920,2330,4,0.55619,0.00842,475,5250
0.0371,471,2920,2330,4,0.55619,0.00842,475,5250
0.0372,471,2920,2330,4,0.55619,0.00842,475,5250
0.0373,471,2918,2332,4,0.55581,0.00842,475,5250
0.0374,471,2918,2332,4,0.55581,0.00842,475,5250
0.0375,471,2915,2335,4,0.55524,0.00842,475,5250
0.0376,471,2913,2337,4,0.55486,0.00842,475,5250
0.0377,471,2910,2340,4,0.55429,0.00842,475,5250
0.0378,471,2909,2341,4,0.5541,0.00842,475,5250
0.0379,471,2907,2343,4,0.55371,0.00842,475,5250
0.038,471,2907,2343,4,0.55371,0.00842,475,5250
0.0381,471,2907,2343,4,0.55371,0.00842,475,5250
0.0382,471,2905,2345,4,0.55333,0.00842,475,5250
0.0383,471,2902,2348,4,0.55276,0.00842,475,5250
0.0384,471,2902,2348,4,0.55276,0.00842,475,5250
0.0385,471,2901,2349,4,0.55257,0.00842,475,5250
0.0386,471,2898,2352,4,0.552,0.00842,475,5250
0.0387,471,2893,2357,4,0.55105,0.00842,475,5250
0.0388,471,2890,2360,4,0.55048,0.00842,475,5250
0.0389,471,2889,2361,4,0.55029,0.00842,475,5250
0.039,471,2886,2364,4,0.54971,0.00842,475,5250
0.0391,471,2882,2368,4,0.54895,0.00842,475,5250
0.0392,471,2879,2371,4,0.54838,0.00842,475,5250
0.0393,471,2876,2374,4,0.54781,0.00842,475,5250
0.0394,471,2874,2376,4,0.54743,0.00842,475,5250
0.0395,471,2871,2379,4,0.54686,0.00842,475,5250
0.0396,471,2869,2381,4,0.54648,0.00842,475,5250
0.0397,471,2864,2386,4,0.54552,0.00842,475,5250
0.0398,471,2862,2388,4,0.54514,0.00842,475,5250
0.0399,471,2859,2391,4,0.54457,0.00842,475,5250
0.04,471,2857,2393,4,0.54419,0.00842,475,5250
0.0401,471,2853,2397,4,0.54343,0.00842,475,5250
0.0402,471,2851,2399,4,0.54305,0.00842,475,5250
0.0403,471,2849,2401,4,0.54267,0.00842,475,5250
0.0404,471,2846,2404,4,0.5421,0.00842,475,5250
0.0405,471,2845,2405,4,0.5419,0.00842,475,5250
0.0406,471,2843,2407,4,0.54152,0.00842,475,5250
0.0407,471,2842,2408,4,0.54133,0.00842,475,5250
0.0408,471,2841,2409,4,0.54114,0.00842,475,5250
0.0409,471,2837,2413,4,0.54038,0.00842,475,5250
0.041,471,2833,2417,4,0.53962,0.00842,475,5250
0.0411,471,2832,2418,4,0.53943,0.00842,475,5250
0.0412,471,2828,2422,4,0.53867,0.00842,475,5250
0.0413,471,2826,2424,4,0.53829,0.00842,475,5250
0.0414,471,2823,2427,4,0.53771,0.00842,475,5250
