PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS,PREINSTALL
bcrypto-5.5.2,LOW,0.00536,
beatoz__web3-1.6.5,LOW,0.01417,
beatoz__web3-abi-1.6.5,LOW,0.03421,
beatoz__web3-accounts-1.6.5,LOW,0.00461,
beatoz__web3-contract-1.6.5,LOW,0.04021,
beatoz__web3-core-1.6.5,MEDIUM,0.06438,
beatoz__web3-errors-1.6.5,LOW,0.03776,
beatoz__web3-methods-1.6.5,LOW,0.00218,
beatoz__web3-providers-http-1.6.5,LOW,0.00454,
beatoz__web3-providers-ws-1.6.5,MEDIUM,0.06715,
beatoz__web3-rpc-1.6.5,LOW,0.0,
beatoz__web3-types-1.6.5,LOW,0.02314,
beatoz__web3-utils-1.6.5,LOW,0.04179,
beatoz__web3-validator-1.6.5,LOW,0.03427,
beerslider-1.0.3,LOW,0.03829,
beixi__compress-1.0.69,LOW,0.0,
bells-secp256k1-0.1.1,LOW,0.02009,
belocal__js-sdk-0.4.2,LOW,0.01179,
bemi-db__supabase-js-0.1.0,LOW,0.05077,
bergos__jsonparse-1.4.2,LOW,2e-05,
bessel-1.0.2,LOW,0.04712,
betarost__cemjs-1.1.34,LOW,0.04695,
better-graphql-16.7.2,LOW,0.01112,
beyounglabs__alfred-3.1.32,LOW,0.04697,
bezier-js-6.1.4,MEDIUM,0.14265,
bhl-js-0.10.7,LOW,0.03576,
bibtex-parser-0.0.0,LOW,0.05077,
bidi-css-js-3.1.0,MEDIUM,0.12274,
bidi-js-1.0.3,MEDIUM,0.14602,
bifrost-finance__api-1.11.9,LOW,0.05077,
bifrost-finance__types-1.11.9,MEDIUM,0.07258,
bigint-crypto-utils-3.3.0,MEDIUM,0.14602,
bigint-mod-arith-3.3.1,LOW,0.05077,
binarysearch-1.0.1,LOW,0.05077,
bip322-js-3.0.0,LOW,0.0,
bitclave__base-client-js-0.4.87,MEDIUM,0.10091,
bitcoin-js__tiny-secp256k1-asmjs-2.2.4,LOW,0.0067,
bitfield.js-1.4.0,LOW,0.05077,
bitgo-forks__avalanchejs-4.1.0-alpha.1,LOW,0.03725,
bitgo__avalanchejs-1.0.0-alpha.2,LOW,0.03725,
bitmovin__api-sdk-1.250.0,LOW,0.04857,
bitrix24__b24jssdk-0.5.1,HIGH,0.4473,
blackglory__mq-js-0.16.2,LOW,0.04209,
blackglory__pubsub-js-9.0.0,LOW,0.00015,
blackglory__store-js-0.18.0,LOW,0.04209,
blake2s-1.1.0,LOW,0.04639,
blanket-1.2.3,MEDIUM,0.10215,
blinkdb-0.14.0,LOW,0.05081,
blitz-3.0.2,MEDIUM,0.05138,
blitzjs__auth-3.0.2,LOW,0.01366,
blitzjs__babel-preset-0.43.0,LOW,0.04697,
blitzjs__generator-3.0.2,LOW,0.02364,
blitzjs__next-3.0.2,HIGH,0.82893,
blitzjs__rpc-3.0.2,LOW,0.04788,
blitzllama-js-1.1.5,LOW,0.02778,
blockchain-api__bitcoin-js-1.1.3,LOW,0.05077,
blocklet__quickjs-0.7.6,LOW,0.00538,
bloom-filters-3.0.4,LOW,0.04657,
bloomrun-4.1.1,LOW,0.04979,
blossom-js-custom-element-0.42.0,LOW,0.02741,
blossom-js-html-0.42.0,MEDIUM,0.06097,
blossom-js-router-0.42.0,MEDIUM,0.08898,
blotoutio__edgetag-sdk-js-1.36.0,LOW,0.00845,
bluebase__storybook-addon-3.0.0,LOW,0.05077,
bluecateng__smooth-reorder-2.1.3,LOW,0.05077,
blueid__access-capacitor-12.3.0,MEDIUM,0.05132,
blueking__crypto-js-sdk-0.0.5,LOW,2e-05,
bmaplib.lushu-1.0.7,LOW,0.05077,
bmaplib.markerclusterer-1.0.13,LOW,0.04218,
bmaplib.texticonoverlay-1.0.2,LOW,0.02685,
bmat-0.1.32,LOW,0.04509,
bmp-js-0.1.0,LOW,0.01385,
bn-1.0.5,MEDIUM,0.05108,
bnb-chain__greenfield-chain-sdk-0.2.2,MEDIUM,0.05829,
bnb-chain__greenfield-js-sdk-2.2.2,MEDIUM,0.07855,
bodiless__cli-1.0.0-rc.23,LOW,0.02351,
boilerz__build-tools-1.5.124,LOW,0.0006,
boldpenguin__sdk-auth-14.1.0,MEDIUM,0.07042,
boldpenguin__sdk-core-14.1.0,MEDIUM,0.06787,
boldpenguin__sdk-http-9.11.1,LOW,0.00017,
boldpenguin__sdk-polyfill-14.1.0,LOW,0.05077,
boldpenguin__sdk-redux-14.1.0,MEDIUM,0.07521,
boldpenguin__sdk-requests-14.1.0,LOW,0.00153,
boldpenguin__sdk-types-14.1.0,MEDIUM,0.14602,
boldpenguin__sdk-web-components-14.1.0,MEDIUM,0.06703,
boldpenguin__sdk-websockets-14.1.0,LOW,0.05077,
bootstrap-social-5.1.1,LOW,0.04296,
bootstrap-styled__css-mixins-2.1.3,LOW,0.01878,
borealisgroup__eslint-config-1.13.7,LOW,0.00979,
botbuilder-storage-mongodb-1.0.17,LOW,0.05077,
boxednode-3.0.0,MEDIUM,0.05401,
bpmn-io__diagram-js-ui-0.2.3,LOW,0.05077,
bpmn-io__dmn-variable-resolver-0.7.0,LOW,0.05077,
bpmn-io__element-template-icon-renderer-1.0.0,LOW,0.05077,
bpmn-io__extract-process-variables-1.0.1,LOW,0.01244,
bpmn-io__form-js-carbon-styles-1.18.0,LOW,0.0495,
bpmn-io__form-js-playground-1.18.0,LOW,0.03434,
bpmn-io__variable-resolver-1.3.6,LOW,0.05077,
bpmn-js-18.9.1,LOW,0.01835,
bpmn-js-bpmnlint-0.23.0,MEDIUM,0.10537,
bpmn-js-cli-2.4.0,LOW,0.05077,
bpmn-js-cli-modeling-dsl-1.0.0,LOW,0.05077,
bpmn-js-color-picker-0.7.2,LOW,0.02247,
bpmn-js-connectors-extension-0.4.6,LOW,0.01237,
bpmn-js-create-append-anything-1.0.1,LOW,0.01228,
bpmn-js-disable-collapsed-subprocess-0.1.7,LOW,0.05077,
bpmn-js-element-templates-2.16.1,LOW,0.01341,
bpmn-js-embedded-comments-0.7.0,LOW,0.05077,
bpmn-js-executable-fix-0.2.1,LOW,0.05077,
bpmn-js-external-label-modeling-1.0.3,LOW,0.05077,
bpmn-js-headless-0.1.0,LOW,0.01285,
bpmn-js-i18n-2.3.0,LOW,0.05077,
bpmn-js-i18n-zh-1.3.0,LOW,0.04748,
bpmn-js-properties-panel-5.43.0,LOW,0.03564,
bpmn-js-properties-panel-lifetex-6.0.8,LOW,0.0359,
bpmn-js-signavio-compat-1.2.3,LOW,0.04941,
bpmn-js-sketchy-0.7.2,MEDIUM,0.14595,
bpmn-js-task-resize-1.2.0,LOW,0.05077,
bpmn-js-token-simulation-0.38.1,LOW,0.02632,
bpmn-js-tracking-0.6.0,LOW,0.05077,
bqpjs-0.1.1,LOW,0.01244,
braintree__uuid-1.0.1,LOW,0.01721,
brandonblack__musig-0.0.1-alpha.1,LOW,0.05077,
brasilapi-js-1.0.4,LOW,0.01242,
braze__web-sdk-6.3.1,MEDIUM,0.08845,
braze__web-sdk-core-3.5.1,LOW,0.02074,
breakpoints-js-1.0.6,LOW,0.04401,
brightleaf__cache-2.0.0,LOW,0.05077,
britecharts-2.18.2,MEDIUM,0.05467,
broccoli-dependency-funnel-2.1.2,LOW,0.05077,
browser-locale-1.0.3,LOW,0.01385,
browser-passworder-2.0.3,LOW,0.00037,
browser-ui-test-0.22.3,LOW,0.05006,
browsery__http-parser-0.5.10-r2,LOW,0.05077,
brusc-2.2.0,LOW,0.05077,
