Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
_lessondesk+schoolbus_5.2.3_1764726416_report.json,@lessondesk/schoolbus@5.2.3,MEDIUM,0.6240,0.7748,0.3440
_accordproject+template-engine_2.7.2_1764725678_report.json,@accordproject/template-engine@2.7.2,HIGH,1.0000,0.7748,0.3440
_everreal+validate-esmoduleinterop-imports_1.4.5_1764726136_report.json,@everreal/validate-esmoduleinterop-imports@1.4.5,HIGH,0.7748,0.7748,0.3440
_voiceflow+dependency-cruiser-config_1.8.11_1764726812_report.json,@voiceflow/dependency-cruiser-config@1.8.11,HIGH,0.7748,0.7748,0.3440
_strapbuild+react-native-perspective-image-cropper_0.4.15_1764726856_report.json,@strapbuild/react-native-perspective-image-cropper@0.4.15,HIGH,0.7748,0.7748,0.3440
_postman+csv-parse_4.0.4_1764726535_report.json,@postman/csv-parse@4.0.4,HIGH,0.7748,0.7748,0.3440
_postman+pm-bin-windows-x64_1.24.5_1764726632_report.json,@postman/pm-bin-windows-x64@1.24.5,LOW,0.0634,0.7748,0.3440
_ensdomains+server-analytics_0.0.2_1764726186_report.json,@ensdomains/server-analytics@0.0.2,HIGH,1.0000,0.7748,0.3440
gate-evm-check-code2_2.0.6_1764727153_report.json,gate-evm-check-code2@2.0.6,LOW,0.0634,0.7748,0.3440
_hapheus+n8n-nodes-pgp_1.5.1_1764726229_report.json,@hapheus/n8n-nodes-pgp@1.5.1,HIGH,1.0000,0.7748,0.3440
ra-data-firebase_1.0.8_1764727568_report.json,ra-data-firebase@1.0.8,MEDIUM,0.5747,0.7748,0.3440
react-native-view-finder_1.2.2_1764727526_report.json,react-native-view-finder@1.2.2,MEDIUM,0.5747,0.7748,0.3440
calc-loan-interest_1.0.4_1764727028_report.json,calc-loan-interest@1.0.4,LOW,0.0634,0.7748,0.3440
_accordproject+concerto-types_3.24.1_1764725609_report.json,@accordproject/concerto-types@3.24.1,HIGH,0.7748,0.7748,0.3440
_browserbasehq+director-ai_1.0.3_1764725954_report.json,@browserbasehq/director-ai@1.0.3,MEDIUM,0.3440,0.7748,0.3440
posthog-node_5.13.3_1764727428_report.json,posthog-node@5.13.3,LOW,0.0634,0.7748,0.3440
generator-ng-itobuz_0.0.15_1764727191_report.json,generator-ng-itobuz@0.0.15,LOW,0.0634,0.7748,0.3440
exact-ticker_0.3.5_1764727121_report.json,exact-ticker@0.3.5,HIGH,0.7748,0.7748,0.3440
posthog-node_4.18.1_1764727416_report.json,posthog-node@4.18.1,HIGH,0.7748,0.7748,0.3440
test-hardhat-app_1.0.3_1764727551_report.json,test-hardhat-app@1.0.3,LOW,0.0634,0.7748,0.3440
_postman+tunnel-agent_0.6.6_1764726661_report.json,@postman/tunnel-agent@0.6.6,HIGH,0.7748,0.7748,0.3440
_postman+wdio-allure-reporter_0.0.9_1764726709_report.json,@postman/wdio-allure-reporter@0.0.9,HIGH,0.7748,0.7748,0.3440
_asyncapi+nodejs-template_3.0.5_1764725820_report.json,@asyncapi/nodejs-template@3.0.5,HIGH,0.7748,0.7748,0.3440
_markvivanco+app-version-checker_1.0.1_1764726317_report.json,@markvivanco/app-version-checker@1.0.1,HIGH,1.0000,0.7748,0.3440
_postman+postman-mcp-server_2.4.12_1764726729_report.json,@postman/postman-mcp-server@2.4.12,HIGH,1.0000,0.7748,0.3440
vf-oss-template_1.0.2_1764727650_report.json,vf-oss-template@1.0.2,HIGH,0.9943,0.7748,0.3440
_voiceflow+backend-utils_5.0.2_1764726841_report.json,@voiceflow/backend-utils@5.0.2,LOW,0.0634,0.7748,0.3440
_asyncapi+nunjucks-filters_2.1.2_1764725771_report.json,@asyncapi/nunjucks-filters@2.1.2,MEDIUM,0.5747,0.7748,0.3440
_postman+aether-icons_2.23.3_1764726517_report.json,@postman/aether-icons@2.23.3,LOW,0.0634,0.7748,0.3440
_voiceflow+test-common_2.1.1_1764726886_report.json,@voiceflow/test-common@2.1.1,HIGH,0.7748,0.7748,0.3440
_vishadtyagi+full-year-calendar_0.1.11_1764726822_report.json,@vishadtyagi/full-year-calendar@0.1.11,MEDIUM,0.3440,0.7748,0.3440
poper-react-sdk_0.1.2_1764727405_report.json,poper-react-sdk@0.1.2,HIGH,0.7748,0.7748,0.3440
_mcp-use+cli_2.2.6_1764726391_report.json,@mcp-use/cli@2.2.6,HIGH,1.0000,0.7748,0.3440
_trpc-rate-limiter+hono_0.1.4_1764726780_report.json,@trpc-rate-limiter/hono@0.1.4,HIGH,0.7748,0.7748,0.3440
_asyncapi+specs_6.8.2_1764725899_report.json,@asyncapi/specs@6.8.2,HIGH,1.0000,0.7748,0.3440
zapier-async-storage_1.0.2_1764727668_report.json,zapier-async-storage@1.0.2,MEDIUM,0.5747,0.7748,0.3440
rediff-viewer_0.0.7_1764727522_report.json,rediff-viewer@0.0.7,HIGH,1.0000,0.7748,0.3440
posthog-node_5.11.3_1764727425_report.json,posthog-node@5.11.3,LOW,0.0634,0.7748,0.3440
claude-token-updater_1.0.3_1764727025_report.json,claude-token-updater@1.0.3,LOW,0.0634,0.7748,0.3440
_zapier+ai-actions-react_0.1.12_1764726946_report.json,@zapier/ai-actions-react@0.1.12,LOW,0.0634,0.7748,0.3440
_voiceflow+common_8.9.2_1764726811_report.json,@voiceflow/common@8.9.2,HIGH,0.7748,0.7748,0.3440
_voiceflow+pino_6.11.4_1764726924_report.json,@voiceflow/pino@6.11.4,LOW,0.0000,0.7748,0.3440
_postman+secret-scanner-wasm_2.1.4_1764726642_report.json,@postman/secret-scanner-wasm@2.1.4,MEDIUM,0.3440,0.7748,0.3440
coinmarketcap-api_3.1.2_1764727074_report.json,coinmarketcap-api@3.1.2,HIGH,0.9943,0.7748,0.3440
coinmarketcap-api_3.1.3_1764727075_report.json,coinmarketcap-api@3.1.3,HIGH,0.9943,0.7748,0.3440
_browserbasehq+sdk-functions_0.0.4_1764725974_report.json,@browserbasehq/sdk-functions@0.0.4,MEDIUM,0.6824,0.7748,0.3440
create-mcp-use-app_0.5.4_1764727105_report.json,create-mcp-use-app@0.5.4,HIGH,0.9950,0.7748,0.3440
posthog-react-native_4.12.5_1764727467_report.json,posthog-react-native@4.12.5,LOW,0.0634,0.7748,0.3440
_seung-ju+next_0.0.2_1764726770_report.json,@seung-ju/next@0.0.2,MEDIUM,0.5747,0.7748,0.3440
_posthog+postgres-plugin_0.0.8_1764726472_report.json,@posthog/postgres-plugin@0.0.8,HIGH,0.7748,0.7748,0.3440
_markvivanco+app-version-checker_1.0.2_1764726328_report.json,@markvivanco/app-version-checker@1.0.2,HIGH,1.0000,0.7748,0.3440
