Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
@voiceflow/api-sdk,0.7748,HIGH,0.04433,HIGH
@ensdomains/ensjs,0.7748,HIGH,0.91909,HIGH
@actbase/react-native-simple-video,0.7748,HIGH,0.88009,HIGH
@antstackio/express-graphql-proxy,0.7748,HIGH,0.88552,HIGH
@accordproject/concerto-metamodel,0.7748,HIGH,0.88313,HIGH
@posthog/currency-normalization-plugin,0.7748,HIGH,0.88015,HIGH
@browserbasehq/stagehand,0.9308,HIGH,0.00645,HIGH
ngx-wooapi,0.7748,HIGH,0.88071,HIGH
create-hardhat3-app,0.0634,LOW,0.0464,HIGH
create-hardhat3-app,0.0634,LOW,0.0464,HIGH
hope-mapboxdraw,0.7748,HIGH,0.87969,HIGH
@voiceflow/sdk-runtime,0.7748,HIGH,0.1193,HIGH
@voiceflow/sdk-runtime,0.7748,HIGH,0.1193,HIGH
template-micro-service,0.7748,HIGH,0.88016,HIGH
@posthog/rrweb-player,0.0634,LOW,0.75322,HIGH
@voiceflow/nestjs-redis,0.0634,LOW,0.87985,HIGH
@asyncapi/java-spring-template,0.7748,HIGH,0.9114,HIGH
eslint-config-zeallat-base,0.7748,HIGH,0.96572,HIGH
@asyncapi/parser,0.94,HIGH,0.03993,HIGH
@asyncapi/parser,0.97,HIGH,0.03993,HIGH
@actbase/react-native-devtools,0.0634,LOW,0.88024,HIGH
@orbitgtbelgium/mapbox-gl-draw-scale-rotate-mode,0.0634,LOW,0.88029,HIGH
ito-button,0.7748,HIGH,0.87973,HIGH
@ensdomains/renewal,0.5747,MEDIUM,0.88344,HIGH
mcp-use,1,HIGH,0,HIGH
mcp-use,1,HIGH,0,HIGH
compare-obj,0.9471,HIGH,0.04635,HIGH
compare-obj,0.9471,HIGH,0.04635,HIGH
@kvytech/web,0.99,HIGH,0.86482,HIGH
fat-fingered,0.7748,HIGH,0.87981,HIGH
@asyncapi/generator-components,0.7748,HIGH,0.9212,HIGH
@ensdomains/ui,0.0634,LOW,0.883,HIGH
@voiceflow/vite-config,0.6824,MEDIUM,0.04657,HIGH
@voiceflow/vite-config,0.6824,MEDIUM,0.04657,HIGH
@actbase/react-daum-postcode,0.0634,LOW,0.87988,HIGH
@antstackio/shelbysam,0.7748,HIGH,0.88347,HIGH
ai-crowl-shield,0.7748,HIGH,0.87972,HIGH
orbit-nebula-editor,0.0634,LOW,0.88088,HIGH
@seung-ju/react-native-action-sheet,0.5747,MEDIUM,0.63283,HIGH
ids-enterprise-typings,0.7748,HIGH,0.88277,HIGH
@postman/pm-bin-macos-arm64,0.0325,LOW,0,HIGH
@postman/pm-bin-macos-arm64,0.0325,LOW,0,HIGH
@postman/pm-bin-macos-arm64,0.0325,LOW,0,HIGH
@asyncapi/generator-helpers,0.7748,HIGH,0.87978,HIGH
@orbitgtbelgium/mapbox-gl-draw-cut-polygon-mode,0.7748,HIGH,0.883,HIGH
@asyncapi/php-template,0.0634,LOW,0.96587,HIGH
@browserbasehq/mcp,0.6824,MEDIUM,0.89088,HIGH
@asyncapi/java-template,0.7748,HIGH,0.96609,HIGH
normal-store,0.9943,HIGH,0,HIGH
normal-store,0.9943,HIGH,0,HIGH
normal-store,0.9943,HIGH,0,HIGH
@mcp-use/mcp-use,0.7748,HIGH,0.04633,HIGH
